Accident_Index,Longitude,Latitude,SV,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Time,1st_Road_Class,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Vehicle1_Type,Vehicle2_Type,Vehicle3_Type,Vehicle1_Manoeuvre,Vehicle2_Manoeuvre,Vehicle3_Manoeuvre,Vehicle1_Location-Restricted_Lane,Vehicle2_Location-Restricted_Lane,Vehicle3_Location-Restricted_Lane,Junction1_Location,Junction2_Location,Junction3_Location,Skidding1_and_Overturning,Skidding2_and_Overturning,Skidding3_and_Overturning,Hit_Object_in_Carriageway1,Hit_Object_in_Carriageway2,Hit_Object_in_Carriageway3,Vehicle1_Leaving_Carriageway,Vehicle2_Leaving_Carriageway,Vehicle3_Leaving_Carriageway,Hit_Object_off_Carriageway1,Hit_Object_off_Carriageway2,Hit_Object_off_Carriageway3,1st_Point_of_Impact1,1st_Point_of_Impact2,1st_Point_of_Impact3,Was_Vehicle 1_Left_Hand_Drive?,Was_Vehicle2_Left_Hand_Drive?,Was_Vehicle 3_Left_Hand_Drive?,Journey_Purpose_of_Driver1,Journey_Purpose_of_Driver2,Journey_Purpose_of_Driver3,Sex_of_Driver1,Sex_of_Driver2,Sex_of_Driver3,Age_Band_of_Driver1,Age_Band_of_Driver2,Age_Band_of_Driver3,Age_of_Vehicle1,Age_of_Vehicle2,Age_of_Vehicle3
2016010002094 ,-0.162473,51.615176,1,2,1,5,17.48,6,1,30,2,4,6,0,8,4,1,2,0,0,1,2,9,0,18,18,0,10,10,0,8,8,0,6,6,0,13,13,0,9,1,0,12,12,0,4,3,0,1,1,0,6,6,0,1,1,0,4,5,0,8,7,0
2016010002780 ,-0.12792,51.42965,1,1,1,3,9.11,6,6,30,0,0,0,0,0,1,1,1,0,0,1,19,0,0,1,0,0,9,0,0,9,0,0,6,0,0,13,0,0,9,0,0,12,0,0,2,0,0,1,0,0,1,0,0,1,0,0,6,0,0,2,0,0
2016010003728 ,0.125334,51.415348,1,1,1,2,6.28,3,6,40,0,0,0,0,0,4,1,1,0,0,1,9,0,0,18,0,0,10,0,0,9,0,0,6,0,0,13,0,0,9,0,0,12,0,0,1,0,0,1,0,0,2,0,0,1,0,0,4,0,0,15,0,0
2016010004313 ,-0.032058,51.564591,1,3,1,4,21.5,3,6,30,0,0,0,0,0,4,1,2,0,0,1,4,9,9,18,18,18,10,10,10,9,9,9,6,6,6,13,13,13,9,9,9,12,12,12,1,2,1,1,1,1,6,6,6,1,1,1,5,5,8,3,9,3
2016010008447 ,-0.047385,51.425638,1,1,1,5,20.25,3,2,30,3,4,6,0,0,4,1,1,0,0,1,9,0,0,18,0,0,10,0,0,1,0,0,6,0,0,13,0,0,9,0,0,12,0,0,1,0,0,1,0,0,2,0,0,1,0,0,7,0,0,12,0,0
2016010008674 ,-0.396685,51.539386,1,1,1,7,7.20,4,6,40,0,0,0,0,8,4,1,2,0,0,1,21,0,0,18,0,0,10,0,0,9,0,0,1,0,0,13,0,0,9,0,0,12,0,0,1,0,0,1,0,0,1,0,0,1,0,0,7,0,0,1,0,0
2016010020318 ,-0.00235,51.610312,1,2,2,1,18.14,4,6,30,3,2,6,0,5,4,8,2,0,0,1,5,9,0,15,3,0,10,10,0,1,1,0,6,6,0,13,13,0,9,9,0,12,12,0,1,2,0,1,1,0,2,6,0,1,2,0,9,8,0,11,2,0
2016010022497 ,-0.19252,51.41124,1,2,1,3,21.12,3,6,30,3,2,6,0,5,1,1,1,0,0,1,5,9,0,18,9,0,10,10,0,8,5,0,6,6,0,13,13,0,9,9,0,12,12,0,1,1,0,1,1,0,6,6,0,1,1,0,8,7,0,4,10,0
2016010028263 ,0.201029,51.586709,1,2,1,6,22.46,3,6,30,0,0,0,0,0,4,1,1,0,0,1,9,4,0,9,18,0,10,10,0,9,9,0,6,6,0,13,13,0,9,9,0,12,12,0,4,1,0,1,1,0,6,6,0,1,1,0,9,5,0,2,6,0
2016010028274 ,0.259491,51.577863,1,1,1,4,7.14,3,3,70,0,0,0,0,0,4,1,1,0,0,2,9,0,0,18,0,0,10,0,0,9,0,0,6,0,0,13,0,0,9,0,0,12,0,0,1,0,0,1,0,0,6,0,0,1,0,0,7,0,0,13,0,0
